price,surface,arrondissement
4600,160,4
655,16.5,4
650,15,4
680,16,4
885,31,4
1236,28,4
1400,33,4
1400,47,4
2200,55,4
930,18,4
1650,49.46,4
2212,72,4
930,16,4
712,18.66,4
1150,35,4
1290,46,4
730,17,4
795,18,4
1000,25,4
1246,30.15,4
1246,30.15,4
1480,40,4
2500,70,4
1000,35,4
1732,60,4
1350,32,4
1397,38,4
1137,33,4
1670,45,4
750,25,4
1000,25,4
1000,23,4
10500,230,4
2800,85,4
1800,50,4
1300,37,10
1400,47,10
1578,56.98,10
1590,40,10
1750,52.57,10
1795,73,10
1850,55,10
1988,73,10
1990,70,10
1995,68,10
2020,71.65,10
2100,88,10
2155,70.3,10
2156,70.3,10
2300,75.81,10
2301,75.81,10
2324,97,10
2445,113,10
2950,117,10
2970,140.38,10
2850,120,10
3250,169,10
3770,169,10
1580,,
390,10,10
568,17,10
570,13,10
668,18.54,10
684,28.23,10
710,17.57,10
800,21,10
750,14,10
770,18,10
799,24,10
875,25,10
860,30,10
860,30,10
932,28.54,10
945,28,10
969,30,10
1195,44,10
1250,27.6,10
1280,39,10
1600,55,10
1750,50,10
2614,105,10
2614,105,10
990,33,10
903,32,10
925,26.04,10
1075,42.44,10
1100,34,10
1111,40.63,10
1235,56.55,10
1427,53.83,10
1550,50,10
1562,61,10
1670,60,10
1921,70.17,10
2382,108,10
2400,100,10
2450,87.56,10
790,24,10
600,20.6,10
795,23,10
788,25,10
920,33,10
1100,31,10
820,24,10
1000,36.37,10
1200,36,10
530,12,10
1002,38.67,10
1150,48,10
1200,47,10
840,27.26,10
1200,35,10
1355,36,10
1100,32,10
1630,69,10
1880,87.57,10
795,25,10
1480,51.19,10
1496,63,10
958,28.3,10
733,25,10
825,20.6,10
834,28,10
1215,45.7,10
566,15.87,10
938,32.67,10
450,,
835,25,10
972,29.5,10
990,27,10
1050,29.4,10
1100,40,10
1159,43,10
1200,45,10
1200,45,10
1350,43.27,10
1350,45,10
1360,51.5,10
1360,46,10
1450,47,10
1462,57.62,10
1500,66,10
1550,50,10
1567,50.74,10
1574,61,10
1680,67,10
1700,93.6,10
1800,59.3,10
1800,83.83,10
1890,65,10
2200,75.04,10
2445,113.01,10
2750,116,10
598,18,10
690,21,10
750,19,10
710,19,10
750,22,10
780,25.24,10
790,22,10
825,23,10
850,16.3,10
990,33,10
1200,27,10
1355,58,10
1450,40,10
2760,106,10
1050,35,10
1750,60,10
2267,111.55,10
2748,108,10
498,14,10
550,14,10
675,20,10
680,20,10
700,19,10
734,23,10
800,21.88,10
820,20.9,10
1400,40,10
1664,68.42,10
1840,82.75,10
3650,169,10
830,27.46,10
1150,30,10
788,25,10
1574,61,10
1360,52,10
850,15,10
890,19,10
1250,40,10
860,18,10
2483,116,10
528,13,10
542,22,10
700,21,10
760,25,10
790,14,10
979,43.16,10
1950,90,10
650,14,10
465,12,10
1300,50,10
1488,63.61,10
550,12,10
795,25,10
850,35,10
700,10,10
1280,34,10
1545,65,10
1000,21.43,10
